,banner_id,campaign_id,Duplicate_indicator
1364,119,16,1
1365,119,16,1
1366,119,16,1
1367,119,16,1
1368,119,16,1
1369,119,16,1
1370,119,16,1
1371,119,16,1
1372,119,16,1
1373,119,16,1
1374,119,23,1
1375,119,23,1
1376,119,23,1
1377,119,23,1
1378,119,23,1
1379,119,23,1
1380,119,23,1
1381,119,23,1
1382,119,24,1
1383,119,24,1
1384,119,24,1
1385,119,24,1
1386,119,24,1
1387,119,24,1
1388,119,24,1
1389,119,24,1
1390,119,24,1
1391,119,24,1
1392,119,24,1
1393,119,24,1
1394,119,28,1
1395,119,28,1
1396,119,28,1
1397,119,28,1
1398,119,28,1
1399,119,31,1
1400,119,31,1
1401,119,31,1
1402,119,32,1
1403,119,32,1
1404,119,32,1
1405,119,32,1
1406,119,32,1
1407,119,32,1
1408,119,32,1
1409,119,32,1
1410,119,32,1
1411,119,9,1
1412,119,9,1
1413,119,9,1
1414,119,9,1
1415,119,9,1
1416,119,9,1
1417,119,9,1
1418,120,29,1
1419,120,29,1
1420,120,29,1
1421,120,29,1
1422,120,29,1
1423,120,29,1
1424,120,29,1
1425,120,31,1
1426,120,31,1
1427,120,31,1
1428,120,31,1
1429,120,31,1
1430,120,31,1
1431,120,31,1
1432,120,31,1
1433,120,31,1
1434,120,32,1
1435,120,32,1
1436,120,32,1
1437,120,32,1
1438,120,32,1
1439,120,32,1
1440,120,32,1
1441,120,32,1
1442,120,32,1
1443,120,32,1
1444,120,33,1
1445,120,33,1
1446,120,33,1
1447,120,33,1
1448,120,33,1
1449,120,33,1
1450,120,33,1
1451,120,33,1
1452,120,33,1
1453,120,5,1
1454,120,5,1
1455,120,5,1
1456,120,5,1
1457,120,5,1
1458,120,5,1
1459,121,13,1
1460,121,13,1
1461,121,13,1
1462,121,13,1
1463,121,13,1
1464,121,13,1
1465,121,13,1
1466,121,13,1
1467,121,13,1
1468,121,13,1
1469,121,28,1
1470,121,28,1
1471,121,28,1
1472,121,28,1
1473,121,28,1
1474,121,28,1
1475,121,28,1
1476,121,28,1
1477,121,30,1
1478,121,30,1
1479,121,30,1
1480,121,30,1
1481,121,30,1
1482,121,34,1
1483,121,34,1
1484,121,34,1
1485,121,34,1
1486,121,38,1
1487,121,38,1
1488,121,38,1
1489,121,38,1
1490,121,38,1
1491,121,38,1
1492,121,38,1
1493,121,38,1
1494,121,38,1
1495,121,4,1
1496,121,4,1
1497,121,43,1
1498,121,43,1
1499,121,43,1
1500,121,43,1
1501,121,43,1
1502,121,43,1
1503,121,43,1
1504,121,43,1
1505,121,43,1
1506,121,43,1
1507,121,43,1
1508,121,45,1
1509,121,45,1
1510,121,45,1
1511,121,45,1
1512,121,45,1
1513,121,45,1
1514,122,14,1
1515,122,14,1
1516,122,14,1
1517,122,14,1
1518,122,17,1
1519,122,17,1
1520,122,17,1
1521,122,17,1
1522,122,17,1
1523,122,17,1
1524,122,17,1
1525,122,17,1
1526,122,29,1
1527,122,29,1
1528,122,29,1
1529,122,29,1
1530,122,38,1
1531,122,38,1
1532,122,38,1
1533,122,40,1
1534,122,40,1
1535,122,40,1
1536,122,40,1
1537,122,40,1
1538,122,40,1
1539,122,40,1
1540,122,40,1
1541,122,44,1
1542,122,44,1
1543,122,44,1
1544,122,44,1
1545,122,44,1
1546,122,44,1
1547,122,44,1
1548,122,44,1
1549,122,44,1
1550,122,44,1
1551,122,44,1
1552,122,45,1
1553,122,45,1
1554,122,45,1
1555,122,45,1
1556,122,45,1
1557,122,45,1
1558,122,45,1
1559,122,47,1
1560,122,47,1
1561,122,47,1
1562,122,47,1
1563,122,47,1
1564,122,47,1
1565,122,49,1
1566,122,49,1
1567,122,49,1
1568,122,49,1
1569,122,49,1
1570,122,49,1
1571,122,7,1
1572,122,7,1
1573,122,7,1
1574,122,7,1
1575,122,7,1
1576,123,14,1
1577,123,14,1
1578,123,15,1
1579,123,15,1
1580,123,15,1
1581,123,15,1
1582,123,15,1
1583,123,15,1
1584,123,17,1
1585,123,17,1
1586,123,17,1
1587,123,17,1
1588,123,17,1
1589,123,19,1
1590,123,19,1
1591,123,19,1
1592,123,22,1
1593,123,22,1
1594,123,22,1
1595,123,22,1
1596,123,22,1
1597,123,22,1
1598,123,24,1
1599,123,24,1
1600,123,24,1
1601,123,24,1
1602,123,24,1
1603,123,24,1
1604,123,24,1
1605,123,24,1
1606,123,24,1
1607,123,25,1
1608,123,25,1
1609,123,25,1
1610,123,25,1
1611,123,25,1
1612,123,26,1
1613,123,26,1
1614,123,26,1
1615,123,26,1
1616,123,26,1
1617,123,37,1
1618,123,37,1
1619,123,37,1
1620,123,37,1
1621,123,37,1
1622,123,40,1
1623,123,40,1
1624,123,40,1
1625,123,40,1
1626,123,40,1
1627,123,40,1
1628,123,40,1
1629,123,40,1
1630,123,40,1
1631,123,43,1
1632,123,43,1
1633,123,43,1
1634,123,43,1
1635,123,44,1
1636,123,44,1
1637,123,44,1
1638,123,44,1
1639,123,44,1
1640,123,44,1
1641,123,44,1
1642,123,44,1
1643,123,45,1
1644,123,45,1
1645,123,45,1
1646,123,45,1
1647,123,47,1
1648,123,47,1
1649,123,47,1
1650,123,47,1
1651,123,47,1
1652,123,47,1
1653,123,47,1
1654,123,47,1
1655,124,16,1
1656,124,16,1
1657,124,16,1
1658,124,16,1
1659,124,16,1
1660,124,16,1
